группа,задача,"срок, дней","план, $","готовность, %"
Другие работы,распилить дрова,3,142,100%
Другие работы,разгрузить и сложить дрова,1,57,60%
Другие работы,вынести и занести мебель (дом 24),0,0,0%
Другие работы,демонтаж пола (дом 24),0,0,0%
Другие работы,монтаж лаг пола (дом 24),0,0,0%
Другие работы,укладка пола (дом 24),0,0,0%
Забор (евроограждение),демонтировать старый забор,1,62,0%
Забор (евроограждение),установить столбы,3,460,0%
Забор (евроограждение),установить пролеты забора,2,578,0%
Забор (евроограждение),установить калитку,1,148,0%
Окна (дачные),сделать откосы на окнах,0,0,0%
Окна (дачные),установить подоконники,1,112,0%
Окна (дачные),монтаж окон,3,817,10%
Крыльцо (открытое),смонтировать лестницу крыльца,0,0,0%
Крыльцо (открытое),смонтировать каркас крыльца,0,0,0%
Крыльцо (открытое),подшить пол крыльца,0,0,0%
Крыльцо (открытое),уложить чистовой пол крыльца,0,0,0%
Крыльцо (открытое),смонтировать крышу крыльца,0,0,0%
Крыльцо (открытое),обшить стены и потолок вагонкой,0,0,0%
Крыльцо (открытое),уложить кровлю крыльца,0,0,0%
Электричество,выкопать траншею для кабеля,2,119,0%
Электричество,проложить кабель от счетчика к дому,1,93,0%
Электричество,проложить гофру в доме,0,0,0%
Электричество,проложить кабель в доме ,0,0,0%
Электричество,установить розетки и выключатели,0,0,0%
Электричество,установить светильники,0,0,0%
Электричество,устоновить электрощиток,1,105,0%
Электричество,подключить автоматы,3,190,0%
Водопровод,обвязать скважину,2,143,0%
Водопровод,обрезать трубу,1,36,0%
Водопровод,установить насос,0,0,0%
Водопровод,установить бак,0,0,0%
Водопровод,установить автоматику скважины,0,0,0%
Водопровод,проложить трубу в дом,0,0,0%
Водопровод,проложить трубопровод в доме,0,0,0%
Водопровод,установить раковину,1,112,0%
Водопровод,установить бойлер,0,0,0%
Водопровод,установить септик (два кольца),3,256,0%
Кровля дома,закрепить верхний слой кровли,0,0,0%
Кровля дома,закрепить свесы кровли,0,0,0%
Кровля дома,смонтировать водосточный желоб,0,0,0%
Кровля дома,смонтировать водосточные трубы,0,0,0%
Второй этаж,смонтировать каркас второго этажа,2,156,10%
Второй этаж,смонтировать мембрану (крафт бумага),1,27,0%
Второй этаж,уложить стружку на второй этаж,1,33,0%
Второй этаж,уложить сухой песок на второй этаж,0,0,0%
Второй этаж,подшить потолок вагонкой,0,0,0%
Второй этаж,уложить чистовой пол  второго этажа,0,0,0%
Второй этаж,каркас ограждение второго этажа,1,54,0%
Второй этаж,смонтировать лестницу второго этажа,2,161,0%
Санузел,унитаз (биотуалет),1,190,0%
Санузел,умывальник,1,181,0%
Санузел,утеплить стены санузла (минвата),0,0,0%
Санузел,душевой уголок,0,0,0%
Санузел,установить дверь,2,194,0%
Первый этаж,смонтировать утеплитель (стружка+вермулит),0,0,0%
Первый этаж,смонтировать мембрану пола первого этажа,0,0,0%
Первый этаж,смонтировать чистовой пол первого этажа,0,0,0%
Первый этаж,смонтировать подшивку из фанеры (OSB),0,0,0%
Первый этаж,зашить подпольное простанство дома,0,0,0%
Веранда,смонтировать столбы фундамента,3,263,0%
Веранда,смонтировать лаги пола,4,484,10%
Веранда,уложить пол веранды,6,527,0%
Веранда,пропитка пола веранды и стен,0,0,0%
Веранда,смонтировать каркас веранды,6,708,10%
Веранда,ограждение веранды,3,186,0%
Веранда,смонтировать крышу веранды,3,347,10%
Веранда,обшить стены и потолок вагонкой,0,0,0%
Веранда,зашить подпольное простанство,0,0,0%
Веранда,смонтировать лестницу веранды,1,61,0%
Веранда,уложить кровлю веранды,4,779,0%
Купол дома,смонтировать холофайбер в куполе,0,0,0%
Купол дома,смонтировать внутренюю мембрану в куполе,0,0,0%
Купол дома,смонтировать обрешотку в куполе,0,0,0%
Купол дома,обшить гипсокартоном,0,0,0%
Купол дома,прогрунтовать гипсокартон,0,0,0%
Купол дома,покрыть гипсокартон белой краской,0,0,0%
Купол дома,нанести пропитку на обрешетку,0,0,0%
Внутренние стены дома,смонтировать бумажный утеплитель в стены,0,0,0%
Внутренние стены дома,смонтировать мембрану на стены,0,0,0%
Внутренние стены дома,обшить вагонкой стены,0,0,0%
Отопление,тепловой расчет,0,0,0%
Отопление,установка кандиционера,0,0,0%
Терасса,смонтировать столбы фундамента,0,0,0%
Терасса,смонтировать лаги пола,0,0,0%
Терасса,уложить пол терассы,0,0,0%
Терасса,пропитка пол терассы,0,0,0%
Терасса,смонтировать лестницу терассы,0,0,0%
Благоустройство,уложить дорожки,0,0,0%
Благоустройство,перевести гараж,0,0,0%
Благоустройство,смонтировать фундамент под гараж,0,0,0%
Благоустройство,выровнять уровень грунт на участке,0,0,0%
Благоустройство,сделать отмостку вокруг дома,0,0,0%
Благоустройство,завести плодородный грунт,0,0,0%
итого общее:, ,57,7780,"7,56%"
